,icao24,callsign,origin_country,long,lat,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,time,callsign_carrier,carrier_company,carrier_type,manufacturericao,model,icaoaircrafttype,model_no_stripped,avg_no_seats,coord,city_name,reg_admin1,reg_admin2,country_cc
1661,a8d4b0,UAL1679,United States,-101.8708,30.2629,10668.0,False,236.77,126.07,0.0,11292.84,1656442561,UAL,United Airlines,U,BOEING,737-924ER,L2J,737-9,191.0,"(30.2629, -101.8708)",Sanderson,Texas,Terrell County,US
1662,4baa46,THY1AU,Turkey,28.0641,41.7339,9753.6,False,227.19,317.39,0.0,10134.6,1656442561,THY,Turkish Airlines,U,AIRBUS,Airbus A321 231,L2J,A321-2,201.0,"(41.7339, 28.0641)",Salmydessus,Kirklareli,,TR
1663,ad4870,NKS837,United States,-79.5923,39.8824,4975.86,False,192.16,19.55,-18.21,5593.08,1656442561,NKS,Spirit Airlines,B,AIRBUS,A320-271N,,A320,209.00000000000003,"(39.8824, -79.5923)",Dunbar,Pennsylvania,Fayette County,US
1664,c05004,ACA2118,Canada,-112.8639,51.0347,5654.04,False,240.25,96.52,5.85,5859.78,1656442561,ACA,Air Canada,P,,,,,180.0,"(51.0347, -112.8639)",Bassano,Alberta,,CA
1665,4baa55,THY4DY,Turkey,29.7251,40.1585,9745.98,False,221.48,335.58,0.0,10134.6,1656442561,THY,Turkish Airlines,U,AIRBUS,A321 231,L2J,A321-2,201.0,"(40.1585, 29.7251)",Yenisehir,Bursa,,TR
1666,3c0ac5,CFG7MC,Germany,-2.8067,40.2052,10972.8,False,255.7,50.22,0.0,11513.82,1656442561,CFG,Condor Flugdienst,P,,,,,180.0,"(40.2052, -2.8067)",Saceda-Trasierra,Castille-La Mancha,Provincia de Cuenca,ES
1667,3c0ac7,CFG3DL,Germany,27.1485,36.4927,4404.36,False,216.44,315.1,8.78,4610.1,1656442561,CFG,Condor Flugdienst,P,,,,,180.0,"(36.4927, 27.1485)",Mandraki,South Aegean,Nomos Dodekanisou,GR
1668,a21fa1,RPA5647,United States,-95.4707,41.2526,3063.24,False,162.56,85.46,9.43,3246.12,1656442561,RPA,Republic Airline,P,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,,ERJ-170,80.0,"(41.2526, -95.4707)",Oakland,Iowa,Pottawattamie County,US
1669,ac5bf6,DAL1148,United States,-108.3738,34.9969,10058.4,False,244.09,87.46,0.0,10645.14,1656442561,DAL,Delta Air Lines,P,BOEING,737-900ER,,737-9,222.0,"(34.9969, -108.3738)",Black Rock,New Mexico,McKinley County,US
1670,4baa4e,THY7AW,Turkey,26.5935,38.6041,8663.94,False,209.02,331.48,5.2,9060.18,1656442561,THY,Turkish Airlines,U,AIRBUS,A321 231,L2J,A321-2,201.0,"(38.6041, 26.5935)",Karaburun,Izmir,,TR
